id,genus,epithet,synonym,synonym_details.genus,synonym_details.epithet,registrant_name,originator_name,date_of_registration,seed_parent.genus,seed_parent.epithet,pollen_parent.genus,pollen_parent.epithet
1048995,Bulbophyllum,Wewin's Goliath,false,,,W.Tjiasmanto,Abuflora,2022/04/30,,,Bulbophyllum,orthosepalum
1048994,Bulbophyllum,Wewin's Giant,false,,,W.Tjiasmanto,W.Tjiasmanto,2022/04/30,,,Bulbophyllum,macrobulbum
1039330,Bulbophyllum,Princess Chong Kai Qi,false,,,N-M. Chen,N-M. Chen,2020/10/22,,,Bulbophyllum,phalaenopsis
958426,Bulbophyllum,Rachelle LCDO,false,,,N.Bougourd,N.Bougourd,2014/10/01,Bulbophyllum,frostii,,
150759,Bulbophyllum,Bellozane,false,,,E.Young O.F.,E.Young O.F.,2005/11/08,,,Bulbophyllum,echinolabium

# Coelogyne barbata
1048400,Coelonisea,Bit Diggy,false,,,K.Akutsu,K.Akutsu,2022/03/22,Panisea,uniflora,,

# Cattleya skinneri
1045760,Cattleya,Lim Chong Chee,false,,,Lee Nam Fook,Lee Nam Fook,2021/10/11,,,Cattleya,dowiana
957734,Cattleytonia,Tzippy,false,,,Quest Orch.,Quest Orch.,2012/10/05,Cattleytonia,Maui Maid,,

# Cattleya dolosa
78909,Cattleya,× obrieniana,true,,,,,,,,Cattleya,loddigesii
127304,Cattleya,× schroederiana,true,,,This is a natural hybrid,This is a natural hybrid,,,,Cattleya,bicolor
1039693,Rhyncholaeliocattleya,Promoción 1974 ADV,false,Brassocattleya,,A.D.Vastik,A.D.Vastik,2020/11/14,,,Rhyncholaeliocattleya,Pastoral
1035746,Cattleya,Ivy's Blue Eyes,false,,,C.Hackney,C.Hackney,2020/05/25,,,Cattleya,mossiae
1034934,Cattleya,Conundrum,false,,,L.Madonia,L.Madonia,2020/04/10,Cattleya,Heathii (1),,
1002129,Cattleya,Via Dolosa,false,,,L.Andreasen,L.Andreasen,2017/04/29,Cattleya,violacea,,

# Catasetum naso
1034465,Catasetum,Quasimodo,false,,,Akerne Orch.,Akerne Orch.,2020/03/23,,,Catasetum,tenebrosum

# Masdevallia persicina
136611,Masdevallia,Emmagrace,false,,,A.Barty,A.Barty,2005/06/21,Masdevallia,Pink Mist,,
938570,Masdevallia,Inca Treasure,false,,,A.D.Clinton,A.D.Clinton,2011/03/15,Masdevallia,Inca Snow,,

# Stenorrhynchos glicensteinii
1025845,Pterorhynchos,Graziano Grando,false,,,A.Dello Iacovo,Orchids & more,2019/04/26,Pteroglossa,roseoalba,,
991721,Stenorrhynchos,Judy's Valentine,false,,,L.Glicenstein,L.Glicenstein,2016/02/12,Stenorrhynchos,albidomaculatum,,

# Lepanthes felis
1013928,Lepanthes,Judite,false,,,J-M.Pallandre,J-M.Pallandre,2018/05/04,Lepanthes,pelvis,,

# Cyrtorchis chailluana
1001625,Cyrtorchis,Hendrik van der Hoven,false,,,H.Koopowitz,H.Koopowitz,2017/04/14,Cyrtorchis,arcuata,,

# Cypripedium sichuanense
982060,Cypripedium,Andreas,false,,,W.Frosch,W.Frosch,2015/04/20,Cypripedium,fargesii,,

# Oncidium iricolor
932843,Oncidium,Eva's Lluvia Pasajera,false,,,Orqu�deas Eva,Orqu�deas Eva,2010/10/27,Oncidium,sphacelatum,,

# Masdevallia impostor
925818,Masdevallia,Magic Wand,false,,,Seagrove Orch.,Trop.O.Farm,2010/03/12,,,Masdevallia,floribunda

# Spathoglottis paulinae
150858,Spathoglottis,hybrid b,false,,,This is a natural hybrid,This is a natural hybrid,,Spathoglottis,portus-finschii,,

# Spathoglottis papuana
150860,Spathoglottis,hybrid c,false,,,This is a natural hybrid,This is a natural hybrid,,Spathoglottis,portus-finschii,,

# Cattleya skinneri
78927,Cattleya,× guatemalensis,true,Guarianthe,,,,,Cattleya,aurantiaca,,
991042,Cattleya,× laelioides,false,Guarianthe,,,,,Cattleya,aurantiaca,,

# The following are typos
# Insignis => insignis
1043205,Gomesa,WOC Golden Tiger,false,Oncidium,,Woolf Orch.,Woolf Orch.,2021/05/14,Gomesa,Moon Shadow,Gomesa,insignis

# Flying High => Flying High (1987)
981951,Aliceara,Larry Sanford,false,,,S.Helbling,S.Helbling,2015/04/09,Aliceara,Flying High (1987),Oncidium,Purbeck Gold
925841,Aliceara,Freeform,false,Degarmoara,,Mauna Kea,J.W.McCully,2010/03/12,Oncidium,Black Diamond,Aliceara,Flying High (1987)

# de Revilla => De Rivilla
978323,Phalaenopsis,Revilleurat de Paris,false,,,Marcel Lecoufle,Marcel Lecoufle,2014/12/01,Phalaenopsis,Marta De Rivilla,Phalaenopsis,Georges Seurat

# Scholo? => Scholoss
974817,Phalaenopsis,Schloss Holte,false,,,Roellke Orch.,Roellke Orch.,2014/06/08,Phalaenopsis,Mad Hatter,Phalaenopsis,amabilis

# Scholo? => Scholoss, Stuckenbrock => Stukenbrock
974821,Phalaenopsis,Ems Juwel,false,,,Roellke Orch.,Roellke Orch.,2014/06/09,Phalaenopsis,Schloss Holte,Phalaenopsis,Stukenbrock

# Doritaenopsis => Phalaenopsis
946488,Phalaenopsis,Day Yang Golden Stripes,true,Phalaenopsis,Anmio Golden Angel,C-C.Hung,C-C.Hung,2011/11/03,Phalaenopsis,Fusheng Sweet Memory,Phalaenopsis,Sin-Yaun Golden Beauty
166251,Phalaenopsis,ELEGANT DEBORAH,true,Phalaenopsis,Taida Pearl,,,2007/09/07,Phalaenopsis,Ching Hua Spring,Phalaenopsis,Sogo Davis

# Delight Sunset => KS Delight Sunset
935312,Phalaenopsis,KS Little Orange,false,,,Kung Sir Orch.,Kung Sir Orch.,2011/01/24,Phalaenopsis,KS Delight Sunset,Phalaenopsis,Brother Pepride

# Hawkinsara => Cattleytonia
166661,Cattleytonia,Dream Splash,true,Cattleytonia,Deceived in War,D.Neuendorff,D.Neuendorff,2007/09/27,Cattleya,Elusive Dream,Cattleytonia,Capri

# Remove '� ' from the start of richteri
163204,Phragmipedium,Peruflora's Angel,false,,,Peruflora,Peruflora,2007/07/19,Phragmipedium,richteri,Phragmipedium,kovachii

# Brassocattleya => Rhyncholaeliocattleya
1601,Rhyncholaeliocattleya,Mariae,true,Rhyncholaeliocattleya,Digbyano-Warneri,Chamberlain,Chamberlain,1902/01/01,Rhyncholaelia,digbyana,Cattleya,warneri
18444,Rhyncholaeliocattleya,Leemanniae,true,Rhyncholaeliocattleya,Mrs. J. Leemann,Maron,Maron,1902/01/01,Rhyncholaelia,digbyana,Cattleya,dowiana
124132,Rhyncholaeliocattleya,Madeleine,true,Rhyncholaeliocattleya,Gatton Lily,Maron,Maron,1910/01/01,Rhyncholaeliocattleya,Imp�ratrice de Russie,Cattleya,trianae
958397,Rhyncholaeliocattleya,Warburtoni,true,Rhyncholaeliocattleya,Digbyano-Schroederae,Warburton,Warburton,1907/01/01,Rhyncholaelia,digbyana,Cattleya,schroederae
958402,Rhyncholaeliocattleya,Eric Lucas,true,Rhyncholaeliocattleya,Digbyano-Warneri,Lucas,Lucas,1904/01/01,Rhyncholaelia,digbyana,Cattleya,warneri
958403,Rhyncholaeliocattleya,Princess Victoria,true,Rhyncholaeliocattleya,Digbyano-mossiae,Charlesworth Ltd.,Charlesworth Ltd.,1904/01/01,Rhyncholaelia,digbyana,Cattleya,mossiae
958401,Rhyncholaeliocattleya,Warnei-digbyana,true,Rhyncholaeliocattleya,Digbyano-Warneri,Charlesworth Ltd.,Charlesworth Ltd.,1904/01/01,Rhyncholaelia,digbyana,Cattleya,warneri
132044,Rhyncholaeliocattleya,Fournierae,true,Rhyncholaeliocattleya,Marguerite Fournier,Fournier,Fournier,1902/01/01,Rhyncholaelia,digbyana,Cattleya,labiata
132038,Rhyncholaeliocattleya,Maroni,true,Rhyncholaeliocattleya,Digbyano-Mendelii,Maron,Maron,1899/01/01,Rhyncholaelia,digbyana,Cattleya,mendelii
1638,Rhyncholaeliocattleya,Veitchii (1898),true,Rhyncholaeliocattleya,Digbyano-Purpurata,Veitch,Veitch,1898/01/01,Rhyncholaelia,digbyana,Cattleya,purpurata
18628,Rhyncholaeliocattleya,Veitchii (1889),true,Rhyncholaeliocattleya,Digbyano-mossiae,Veitch,Veitch,1889/01/01,Rhyncholaelia,digbyana,Cattleya,mossiae

